;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
word_1;the;i;sleep;sick;show;you;quot;twitter;phone;rain;hug;de;upload;bus;amp;talk;pogba;italy;depression;book
word_2;depression;to;to;throat;kutner;go;you;tweet;iphone;sun;dog;pression;picture;traffic;sadly;to;mourinho;earthquake;the;library
word_3;you;and;work;a;kal;to;album;on;my;snow;stephenkruiser;d;pic;train;re;someone;paul;news;great;reading
word_4;is;a;bed;my;penn;s;song;to;laptop;cold;cat;la;photo;the;is;lonely;depression;in;co;read
word_5;i;my;in;i;hill;the;the;i;site;weather;baby;le;wear;driving;up;i;his;sad;inflation;the
word_6;to;the;i;hurt;the;for;i;t;error;today;poor;est;the;a;my;just;united;people;filipino;t
word_7;a;it;up;sore;episode;birthday;it;quot;it;it;puppy;en;a;ticket;s;you;co;tinyurl;in;quot
word_8;it;of;the;is;sad;lol;s;is;to;the;s;et;color;waiting;got;m;jose;is;pay;to
word_9;t;t;go;the;cantu;sydney;video;a;the;snowing;her;c;t;godot;it;need;he;there;will;some
word_10;for;me;tomorrow;dentist;sandra;a;wa;the;is;in;my;il;but;on;u;anyone;de;s;t;great
